bblid,scanid
101863,6247
104084,7947
87646,6826
84050,5674
82293,3297
125073,7553
81906,6584
87122,7695
117895,5195
85853,6334
81903,2749
104590,5794
83708,3564
115665,4734
81725,6726
84511,3044
113149,4416
107631,4397
115291,8128
125508,5516
80265,3145
120730,5569
121099,5507
122340,6803
93463,3430
84096,6573
82383,2906
125554,5571
84525,2964
108321,5835
97991,4443
100115,5070
87277,3467
121001,5410
108560,4682
93020,7037
118201,5072
84354,6631
83358,2963
86514,3152
110590,4353
110168,4767
122430,7289
131085,6284
125106,5457
102350,3699
129600,6149
87189,5502
114713,5800
87445,4813
85258,6816
91933,6153
84685,6795
93723,7574
84891,6616
129914,6468
86990,3202
120925,5227
85159,3281
86972,5713
82232,2706
86853,3449
83616,3040
87209,3225
99648,4137
87737,3961
90626,4990
103790,3758
81287,2738
118606,5749
99604,6454
91466,6730
82982,2902
81604,2720
82935,3201
84446,3526
85392,3048
86583,3584
86707,3326
88209,7910
131810,6497
125511,5572
87699,5626
127386,5658
103423,6280
85822,3534
106313,4638
88137,3187
109513,6276
91152,4544
99419,5597
109785,6293
111282,6790
81644,2855
84332,2951
89567,7951
93161,3663
81544,2793
80537,2823
81222,3184
82202,3370
82021,2825
90785,4442
80425,2726
87470,4000
84732,5837
81098,2653
106071,7265
87804,3144
91489,4756
81043,2750
97694,4637
93083,5554
116019,7298
93282,4380
87862,3653
81323,3742
93598,4250
92275,3711
93787,3615
115978,5179
97857,5193
129336,6275
85412,3308
84258,6282
88055,3282
91241,3596
133007,6259
99399,4620
126176,5980
98831,4624
131657,6242
88229,3672
87135,4634
110232,6640
131993,6294
109667,6255
116817,5060
87381,5979
83044,6603
81528,3179
86444,7284
131444,6544
109741,4396
82003,4763
82281,3325
82489,3677
82511,3404
82940,4887
84103,5842
84508,5809
84688,8398
84803,3513
85054,6867
85063,3316
85286,3594
85751,6291
86212,6767
87195,6630
87601,6917
87604,4448
88094,3536
88120,7308
89731,4814
90281,4754
90736,8286
90964,3458
91833,6597
92669,3613
93274,4069
93292,4945
93588,3702
93948,5346
98394,6578
98672,6665
98908,6739
99244,6085
101598,5412
102845,5273
102958,3952
103009,4934
105767,3817
110324,6223
110586,6183
112061,4614
113054,5027
114709,5056
116086,5744
116774,5028
119848,5718
125217,5683
126516,5759
127104,6609
130863,6469
131224,8167
133145,6579
138587,8372
139272,8456
