bblid,scanid
80889,3437
84171,8315
80961,2632
83835,6671
85173,3226
124992,8221
82877,2971
113070,8190
85715,5624
83339,6806
112633,4611
87548,3139
81760,3085
80854,2675
112799,4500
88677,6852
91674,8127
95010,4488
83580,3610
126389,5642
121120,5118
90877,3582
120514,5912
99610,5425
83832,6747
91404,3651
127236,5682
126488,7287
85603,2968
96832,5015
86820,3429
119065,6601
131747,8108
94028,6645
86921,3350
124926,5883
84476,8350
85433,6528
80289,2794
110967,4295
127011,5812
108972,8283
116943,5679
102954,7572
104393,3971
125316,6536
101504,5189
89505,4933
91398,6865
81992,6184
86486,6731
98871,6246
83207,3138
114723,6756
91717,7870
88283,7435
103413,5057
84385,4623
118393,5225
114990,6848
82373,2952
87772,6763
99920,6191
109523,4465
90116,5920
127128,5545
108689,6613
99274,5676
84069,3524
85165,3034
122911,5550
109233,7368
84659,6441
90667,3363
110131,6474
125280,5515
122522,5154
98885,8423
109645,4571
87936,5506
119791,5079
110153,5263
113401,4826
86946,3962
80396,2798
107394,8138
131666,6637
129405,6554
90050,4746
91460,3432
112031,5185
84059,4463
130154,6335
86252,6642
106483,4152
89063,3475
82492,3036
82458,2728
87842,6185
118609,6392
105168,3881
107522,4906
85394,2909
88075,3575
101155,4248
83972,3081
126236,5495
102496,4242
103029,6252
114412,8416
91422,3372
120684,8247
85765,3290
132296,6489
118513,5409
115276,5012
102601,6148
105799,3953
92403,3902
88013,3216
86061,7623
99436,3649
118990,7292
115749,5561
90765,7419
119527,7335
132560,6360
100050,8309
89881,3854
116531,5270
85876,5423
85960,3323
85902,6571
125506,6370
92927,6872
125133,6073
126960,5954
113220,4505
108701,4215
93469,3633
99352,4967
87990,3676
87947,3210
112824,4949
81865,6728
82359,6815
82453,6675
83010,4498
83260,7288
84412,4942
84970,3728
85230,3667
85980,3320
86126,3231
86517,8250
86690,4480
87166,5539
87530,3248
87538,7297
87563,4679
90849,6883
91247,5190
91310,3435
91335,3907
92362,4489
93309,7439
93542,3473
95123,4201
98529,4101
98718,7466
98879,6159
99079,6476
99578,4462
102309,8252
103941,4269
103989,6499
105176,5077
107516,4570
108211,4578
109646,8354
110724,4612
111839,4941
112573,4653
114445,5625
114469,4466
115382,5474
115969,8302
116843,6574
117256,6617
117352,5085
119386,5009
120052,6364
120364,5605
122801,7465
125498,5475
126627,6389
127091,6740
129741,5855
135484,8361
138788,8347
